d, r, Trial, Samples, Rate Err, Weight Err, Time, Success
6, 2, 3, 1000, 0.0264, 0.0190, 0.0425, 1
6, 2, 4, 1000, 0.0037, 0.0458, 0.0397, 1
6, 2, 5, 1000, 0.0278, 0.0869, 0.0424, 1
6, 2, Median, 1000.0, 0.0127, 0.0297, 0.0424, 1.00
6, 3, 1, 1000, 0.0301, 0.0363, 0.0427, 1
6, 3, 2, 1000, 0.0313, 0.1176, 0.0465, 1
6, 3, 3, 1000, 0.0197, 0.0193, 0.0434, 1
6, 3, 4, 1000, 0.0433, 0.2326, 0.0418, 0
6, 3, 4, 10000, 0.0158, 0.0469, 0.2480, 1
6, 3, 5, 1000, 0.0165, 0.0858, 0.0415, 1
6, 3, Median, 1000.0, 0.0197, 0.0469, 0.0434, 1.00
6, 4, 1, 1000, 0.0420, 0.0932, 0.0430, 1
6, 4, 2, 1000, 0.0516, 0.0748, 0.0429, 1
6, 4, 3, 1000, 0.0395, 0.0165, 0.0420, 1
6, 4, 4, 1000, 0.1657, 0.5082, 0.0445, 0
6, 4, 4, 10000, 0.0415, 0.0683, 0.2520, 1
6, 4, 5, 1000, 0.1587, 0.3643, 0.0463, 0
6, 4, 5, 10000, 0.1227, 0.3049, 0.2771, 0
6, 4, 5, 50000, 0.0576, 0.0325, 1.1667, 1
6, 4, Median, 1000.0, 0.0420, 0.0683, 0.0430, 1.00
6, 5, 1, 1000, 0.6238, 0.5772, 0.0469, 0
6, 5, 1, 10000, 0.1862, 0.3810, 0.2629, 0
6, 5, 1, 50000, 0.1364, 0.3806, 1.1637, 0
6, 5, 1, 100000, 0.0462, 0.1266, 2.2898, 1
